run,layer_number,layer_code,wire,value,local_median,robust_z,reason
21840,1,11,2,0.433241947,0.430541653,0.12435217266808277,low/dead
21843,1,11,2,0.442173008,0.430541653,0.5356395508503023,low/dead
21847,1,11,2,0.429181103,0.429181103,0.0,low/dead
21849,1,11,2,0.426570557,0.426570557,0.0,low/dead
21850,1,11,2,0.417571576,0.426570557,-0.41441518558675516,low/dead
21851,1,11,2,0.425613227,0.426570557,-0.04408633484366526,low/dead
21855,1,11,2,0.430892756,0.425613227,0.24312941546889075,low/dead
21856,1,11,2,0.421305731,0.425280899,-0.1830618360521615,low/dead
21857,1,11,2,0.425280899,0.425280899,0.0,low/dead
21858,1,11,2,0.407853431,0.425280899,-0.8025583547211872,low/dead
21859,1,11,2,0.428885866,0.425613227,0.15070943016142152,low/dead
21860,1,11,2,0.422952049,0.426995905,-0.18622501089024585,low/dead
21861,1,11,2,0.374293921,0.426995905,-2.4269972878207184,low/dead
21862,1,11,2,0.426995905,0.428885866,-0.08703524749821409,low/dead
21864,1,11,2,0.433809973,0.431311885,0.11504031424580717,low/dead
21865,1,11,2,0.431311885,0.433809973,-0.11504031424580717,low/dead
21879,1,11,2,0.422110416,0.461913704,-1.8329949783739994,low/dead
21880,1,11,2,0.448855245,0.458215417,-0.4310485172158872,low/dead
21884,1,11,2,0.291091154,0.448855245,-7.265248704346704,low/dead
21893,1,11,2,0.40051556,0.457623922,-2.6299169246813126,low/dead
21894,1,11,2,0.416353866,0.457623922,-1.9005416187028006,low/dead
21895,1,11,2,0.411796533,0.4332884,-0.9897293984075355,low/dead
21901,1,11,2,0.4303454,0.4303454,0.0,low/dead
21902,1,11,2,0.4332884,0.43079345,0.11489580512278792,low/dead
21903,1,11,2,0.406942063,0.4332884,-1.2132842748958101,low/dead
21905,1,11,2,0.43079345,0.4332884,-0.11489580512278792,low/dead
21906,1,11,2,0.420168824,0.4332884,-0.6041741306998579,low/dead
21908,1,11,2,0.423746916,0.4332884,-0.43939817881969817,low/dead
21909,1,11,2,0.451084843,0.451084843,0.0,low/dead
21922,1,11,2,2.728292271,2.402603151,14.998422277854198,outlier
21923,1,11,2,2.712374328,2.402603151,14.265379580852805,outlier
21932,1,11,2,2.237585392,2.368675195,-6.036861844555057,outlier
21936,1,11,2,2.227315368,2.338432891,-5.117111472508432,outlier
21948,1,11,2,2.185077076,2.403512854,-10.059261540685243,outlier
21950,1,11,2,2.25837952,2.407164188,-6.851734190980462,outlier
21957,1,11,2,2.239906822,2.404075536,-7.560190212630613,outlier
21958,1,11,2,2.270122951,2.394681864,-5.736105570995138,outlier
21962,1,11,2,2.260255364,2.377377907,-5.393650724869596,outlier
21980,1,11,2,2.144248819,2.401066639,-11.826806228092465,outlier
21993,1,11,2,2.216594828,2.389595715,-7.966923665332574,outlier
21994,1,11,2,2.213260511,2.389595715,-8.120473450398235,outlier
21995,1,11,2,2.263288882,2.389595715,-5.816599639289187,outlier
22004,1,11,2,2.129566488,2.382088658,-11.628985764646002,outlier
22014,1,11,2,2.242972281,2.363433344,-5.54739406374152,outlier
22018,1,11,2,2.05749046,2.35680687,-13.783923490816482,outlier
22019,1,11,2,2.078545725,2.318336104,-11.042669655064632,outlier
22020,1,11,2,2.360699084,2.242972281,5.421477711063097,outlier
22021,1,11,2,2.35680687,2.242972281,5.242236018347739,outlier
22027,1,11,2,2.233229422,2.351458043,-5.444587105293486,outlier
